A04	Soil Science	ปฐพีวิทยา	Faculty of Agriculture
A08	Home Economics	คหกรรมศาสตร์	Faculty of Agriculture
A11	Agricultural Extension and Communication	ส่งเสริมและนิเทศศาสตร์เกษตร	Faculty of Agriculture
A13	Agricultural Chemistry	เคมีการเกษตร	Faculty of Agriculture
A15	Agricultural Science	วิทยาศาสตร์เกษตร	Faculty of Agriculture
A17	Tropical Agriculture	เกษตรเขตร้อน	Faculty of Agriculture
A18	Food and Nutrition	อาหารและโภชนาการ	Faculty of Agriculture
A19	Pest Management	การจัดการศัตรูพืชและสัตว์	Faculty of Agriculture
A20	Industrial Animal Science	สัตวศาสตร์อุตสาหกรรม	Faculty of Agriculture
B00	Not Affiliated with the Department	ยังไม่สังกัดภาควิชา	Faculty of Fisheries
B01	Fishery Management	การจัดการประมง	Faculty of Fisheries
B02	Fishery Biology	ชีววิทยาประมง	Faculty of Fisheries
B03	Aquaculture	เพาะเลี้ยงสัตว์น้ำ	Faculty of Fisheries
B04	Fishery Products	ผลิตภัณฑ์ประมง	Faculty of Fisheries
B05	Marine Science	วิทยาศาสตร์ทางทะเล	Faculty of Fisheries
C00	Not Affiliated with the Department	ยังไม่สังกัดภาควิชา	Faculty of Forestry
C02	Forest Biology	วิทยาศาสตร์ชีวภาพป่าไม้	Faculty of Forestry
C04	Silvery	วนวัฒนวิทยา	Faculty of Forestry
C05	Forest Engineering	วิศวกรรมป่าไม้	Faculty of Forestry
C07	Community Forestry	วนศาสตร์ชุมชน	Faculty of Forestry
C08	Watershed Management and Environment	การจัดการลุ่มน้ำและสิ่งแวดล้อม	Faculty of Forestry
C09	Recreation and Tourism Park	อุทยานนันทนาการและการท่องเที่ยว	Faculty of Forestry
C10	Wildlife Management and Pasture	การจัดการสัตว์ป่าและทุ่งหญ้า	Faculty of Forestry
C11	Community Forestry - Sociology and Anthropology	วนศาสตร์ชุมชน-สังคมวิทยาและมานุษยวิทยา	Faculty of Forestry
C12	Forest Management	การจัดการป่าไม้	Faculty of Forestry
C31	Wood Science and Technology	วิทยาศาสตร์และเทคโนโลยีทางไม้	Faculty of Forestry
C32	Pulp and Paper Technology	เทคโนโลยีเยื่อและกระดาษ	Faculty of Forestry
C33	Wood and Paper Products Technology	เทคโนโลยีผลิตภัณฑ์ไม้และกระดาษ	Faculty of Forestry
D01	Mathematics	คณิตศาสตร์	Faculty of Science
D02	Chemistry	เคมี	Faculty of Science
D03	Biology	ชีววิทยา	Faculty of Science
D04	Statistics	สถิติ	Faculty of Science
D06	Applied Radiation and Isotopes	รังสีประยุกต์และไอโซโทป	Faculty of Science
D07	Physics	ฟิสิกส์	Faculty of Science
D09	Microbiology	จุลชีววิทยา	Faculty of Science
D10	Genetics	พันธุศาสตร์	Faculty of Science
D11	Botany	พฤกษศาสตร์	Faculty of Science
D12	Zoology	สัตววิทยา	Faculty of Science
D13	Biochemistry	ชีวเคมี	Faculty of Science
D14	Computer Science	วิทยาการคอมพิวเตอร์	Faculty of Science
D16	Earth Science	วิทยาศาสตร์พื้นพิภพ	Faculty of Science
D17	Industrial Chemistry	เคมีอุตสาหกรรม	Faculty of Science
D18	Radiation Biosciences	วิทยาศาสตร์ชีีวภาพรังสี	Faculty of Science
D19	Nuclear Science	วิทยาศาสตร์นิวเคลียร์	Faculty of Science
D20	Life Science and Technology	วิทยาศาสตร์ชีวภาพและเทคโนโลยี	Faculty of Science
D32	Prepare the Medicine	เตรียมแพทยศาสตร์	Faculty of Science
E03	Mechanical Engineering	วิศวกรรมเครื่องกล	Faculty of Engineering
E05	Electrical Engineering	วิศวกรรมไฟฟ้า	Faculty of Engineering
E06	Civil engineering	วิศวกรรมโยธา	Faculty of Engineering
E08	Industrial Engineering	วิศวกรรมอุตสาหการ	Faculty of Engineering
E09	Computer Engineering	วิศวกรรมคอมพิวเตอร์	Faculty of Engineering
E10	Chemical Engineering	วิศวกรรมเคมี	Faculty of Engineering
E11	Electrical Engineering	วิศวกรรมไฟฟ้าเครื่องกลการผลิต	Faculty of Engineering
E13	Aerospace Engineering	วิศวกรรมการบินและอวกาศ	Faculty of Engineering
E14	Environmental Engineering	วิศวกรรมสิ่งแวดล้อม	Faculty of Engineering
E16	Materials Engineering	วิศวกรรมวัสดุ	Faculty of Engineering
E17	Software Knowledge Engineering	วิศวกรรมซอฟต์แวร์และความรู้	Faculty of Engineering
E18	Geological Surveying and Engineering	วิศวกรรมสำรวจและสารสนเทศภูมิศาสตร์	Faculty of Engineering
E21	Civil Engineering - Water Resources	วิศวกรรมโยธา-ทรัพยากรน้ำ	Faculty of Engineering
E22	Aviation Technology Management	การจัดการเทคโนโลยีการบิน	Faculty of Engineering
E23	Aerospace Engineering - Business Administration	วิศวกรรมการบินและอวกาศ-บริหารธุรกิจ	Faculty of Engineering
