majorID	Wellness	Entrepreneurship	Thai Citizen and Global Citizen	Language and Communication	Aesthetics
E09	6	3	5	13	3
A04	4	3	5	13	5
A08	4	5	4	13	4
A11					
A13	4	3	5	13	5
A15	4	3	5	13	5
A17	4	4	3	13	6
A18	4	5	4	13	4
A19	3	5	6	13	3
A20					
B00	3	6	5	13	3
B01	3	6	5	13	3
B02	3	6	5	13	3
B03	3	6	5	13	3
B04	3	6	5	13	3
B05	3	6	5	13	3
C00	3	6	5	13	3
C02					
C04					
C05					
C07					
C08					
C09					
C10					
C11					
C12					
C31					
C32					
C33	5	4	5	13	3
D01	3	6	5	13	3
D02	6	3	5	13	3
D03					
D04	6	3	5	13	3
D06	5	3	6	13	3
D07					
D09	3	6	5	13	3
D10	6	3	5	13	3
D11					
D12					
D13	6	3	5	13	3
D14	3	3	3	13	3
D16					
D17	5	3	6	13	3
D18	5	3	6	13	3
D19					
D20					
D32					
E03	6	3	5	13	3
E05	6	3	5	13	3
E06	6	3	5	13	3
E08	6	3	5	13	3
E10	6	3	5	13	3
E11	6	3	5	13	3
E13	6	3	5	13	3
E14	6	3	5	13	3
E16	6	3	5	13	3
E17	4	5	5	13	3
E18	6	3	5	13	3
E21	6	3	5	13	3
E22	3	6	5	13	3
E23					
E26					
E27					
E28					
E35					
F11					
F12					
F14					
F16					
F17					
F18	3	6	5	13	3
G01	6	3	5	13	3
G02	3	6	5	13	3
G03	4	3	8	13	3
G04	3	6	5	13	3
G11	3	6	5	13	3
G12	3	6	5	13	3
G21	3	6	5	13	3
H01	3	3	8	13	3
H02	6	3	5	13	3
H03	3	3	8	13	3
H04	3	3	5	13	6
H06	3	3	8	13	3
H07	3	3	8	13	3
H08	3	3	8	13	3
H09	3	3	8	13	3
I00					
K01					
K02					
K03	6	3	5	13	3
K04	6	3	5	13	3
K05					
K07					
K41					
L02	3	3	8	13	3
L32	6	3	5	13	3
L33	3	3	5	13	6
L34	3	3	5	13	6
L35	3	6	5	13	3
L36					
L50	6	3	5	13	3
L71					
L72	3	6	5	13	3
L73	6	3	5	13	3
L81	7	3	5	13	3
L85	6	3	5	13	3
L86	3	6	5	13	3
L87	3	4	5	13	5
L88	3	6	5	13	3
L89	3	4	5	13	5
R01	4	3	5	13	6
R02					
R03	4	3	5	13	6
N01	6	3	5	13	3
N02	6	3	5	13	3
N03	4	6	6	13	3
N04					
N05					
P01					
P02					
T01	3	6	5	13	3
T02	3	6	5	13	3
