ศาสตร์แห่งผู้ประกอบการ (Entrepreneurship)		คนรับผิดชอบตอนนี้			
SubID	SubNameENG	SubNameTHA	Credit	longCredit	belongTo
1005101	Modern Agriculture Technology	เทคโนโลยีเกษตรสมัยใหม่	3	3-0-6	Faculty of Agriculture
1132101	Modern Entrepreneur	ผู้ประกอบการรุ่นใหม่	3	3-0-6	Faculty of Business Administration
1200101	Innovative Thinking	การคิดเชิงนวัตกรรม	3	3-0-6	Faculty of Engineering
1999041	Economics for Better Living	เศรษฐศาสตร์เพื่อการดำเนินชีวิตที่ดี	3	3-0-6	Integration Section of General Education
1999043	Creativity for Value Management	การคิดสร้างสรรค์เพื่อการจัดการคุณค่า	3	3-0-6	Integration Section of General Education
2717011	Self and Self Development	ตนและการพัฒนาตน	3	3-0-6	Faculty of Liberal Arts and Science Kamphaeng Saen Campus
3600014	Creative Problem Solving and Critical Thinking Skills	การแก้ปัญหาเชิงสร้างสรรค์และทักษะการคิดเชิงวิพากษ์	3	3-0-6	Faculty of Engineering Sri Racha Campus
3757123	Mathematics for Business	คณิตศาสตร์สำหรับธุรกิจ	3	3-0-6	Faculty of Management Sciences Sri Racha Campus
