พลเมืองไทยและพลเมืองโลก (Thai Citizen and Global Citizen)		คนรับผิดชอบตอนนี้	แบงค์		
SubID	SubNameENG	SubNameTHA	Credit	longCredit	belongTo
1999111	Knowledge of the Land	ศาสตร์แห่งแผ่นดิน	2	2-0-4	Integration Section of General Education
1001317	Kings and State Leaders on Agricultural Sector Development	พระมหากษัตริย์และผู้นำประเทศกับการพัฒนาภาคการเกษตร	3	3-0-6	Faculty of Agriculture
1015202	Thai Lives Agiculture	เกษตรวิถีไทย	3	3-0-6	Faculty of Agriculture
1174122	Recreational Learning through Backpack Traveling	การเรียนรู้เชิงนันทนาการโดยการเดินทางในต่างประเทศแบบประหยัด	3	3-0-6	Faculty of Education
1350101	Ways of Life and Culture in ASEAN	วิถีชีวิตและวัฒนธรรมในอาเซียน	3	3-0-6	Faculty of Humanities
1387104	Philosophy and Religion in ASEAN Countries	ปรัชญาและศาสนาในประเทศอาเซียน	3	3-0-6	Faculty of Humanities
1390102	Creative Tourism	การท่องเที่ยวเชิงสร้างสรรค์	3	3-0-6	Faculty of Humanities
1450101	Thai Society and ASEAN Community in Today's World	สังคมไทยกับประชาคมอาเซียนในโลกปัจจุบัน	3	3-0-6	Faculty of Social Sciences
1455101	World Politics in Daily Life	การเมืองโลกในชีวิตประจำวัน	3	3-0-6	Faculty of Social Sciences
1460101	Contemporary Thai Society and Culture	สังคมและวัฒนธรรมไทยร่วมสมัย	3	3-0-6	Faculty of Social Sciences
1999031	Thai Heritage of World Civilization	มรดกอารยธรรมโลก	3	3-0-6	Integration Section of General Education
1999032	Thai Studies	ไทยศึกษา	3	3-0-6	Integration Section of General Education
1999046	National Security Development	การพัฒนาความมั่นคงแห่งชาติ	3	3-0-6	Integration Section of General Education
1999047	Military for Country Development	การทหารเพื่อพัฒนาประเทศ	3	3-0-6	Integration Section of General Education
1999141	Man and Society	มนุษย์กับสังคม	3	3-0-6	Integration Section of General Education
2999042	Student Development	การพัฒนานิสิต	3	2-3-6	Integration Project Kamphaeng Saen Campus
2999144	Life Skills for Undergraduate Student	ทักษะชีวิตการเป็นนิสิตในมหาวิทยาลัย	1	1-0-2	Integration Project Kamphaeng Saen Campus
2999147	The Thai in ASEAN Dynamics	ไทยในพลวัตอาเซียน	3	3-0-6	Integration Project Kamphaeng Saen Campus
3751112	Social and Politics	สังคมและการเมือง	3	3-0-6	Faculty of Management Sciences Sri Racha Campus
4804115	Volunteer Spirit for Community Development	จิตอาสาเพื่อพัฒนาชุมชน	3	3-0-6	Faculty of Natural Resource and Agro- Industry Chalermphrakiat Sakon Nakhon Province Campus
